citing_doi,arxiv_id,source,doi_asserted_by,crossref_found,crossref_has_references,crossref_structured_doi_match,crossref_unstructured_match,crossref_reference_key,crossref_error,openalex_citing_found,openalex_arxiv_in_refs,openalex_arxiv_work_id,openalex_error,datacite_event_found,datacite_total_events,datacite_error,opencitations_citing_found,opencitations_arxiv_in_refs,opencitations_oci,opencitations_error,notes
10.1039/d3dd00154g,1412.6980,asserted,publisher,True,True,True,False,D3DD00154G/cit42/1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1002/hbm.25782,1412.6980,asserted,,True,True,False,True,e_1_2_10_18_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-99-8429-9_23,1412.6980,asserted,,True,True,False,True,23_CR11,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s12149-024-01945-1,1412.6980,asserted,,True,True,False,True,1945_CR39,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1098/rsif.2024.0880,1412.6980,asserted,,True,True,False,True,e_1_3_8_72_2,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11263-025-02481-9,1412.6980,asserted,,True,True,False,True,2481_CR26,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tits.2024.3507639,1412.6980,asserted,,True,True,False,True,ref57,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1111/mice.13436,1412.6980,asserted,,True,True,False,True,e_1_2_8_34_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/access.2022.3167814,1412.6980,asserted,,True,True,False,True,ref24,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-99-0923-0_40,1412.6980,asserted,,True,True,False,True,40_CR18,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1029/2023wr035337,1412.6980,asserted,,True,True,False,True,e_1_2_9_49_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11042-022-12444-8,1412.6980,asserted,,True,True,False,True,12444_CR20,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tsmc.2023.3344883,1412.6980,asserted,,True,True,False,True,ref35,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11431-020-1702-2,1412.6980,asserted,,True,True,False,True,1702_CR45,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-99-8435-0_37,1412.6980,asserted,,True,True,False,True,37_CR14,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.7717/peerj-cs.2409,1412.6980,asserted,publisher,True,True,True,False,10.7717/peerj-cs.2409/ref-30,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.ijsrc.2025.06.002,1412.6980,asserted,,True,True,False,True,10.1016/j.ijsrc.2025.06.002_bib10,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-025-94593-y,1412.6980,asserted,,True,True,False,True,94593_CR70,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2022.07.31.502227,1412.6980,asserted,,True,True,False,True,2022080400550526000_2022.07.31.502227v1.24,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-025-95666-8,1412.6980,asserted,publisher,True,True,True,False,95666_CR83,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/access.2025.3559764,1412.6980,asserted,,True,True,False,True,ref88,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1029/2024wr039470,1412.6980,asserted,,True,True,False,True,e_1_2_9_75_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.33737/jgpps/187996,1412.6980,asserted,,True,True,False,True,ref-1234282,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2023.07.25.550466,1412.6980,asserted,,True,True,False,True,2023072711550930000_2023.07.25.550466v1.51,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1029/2024ea003735,1412.6980,asserted,,True,True,False,True,e_1_2_11_38_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1088/1757-899x/1332/1/012039,1412.6980,asserted,publisher,True,True,True,False,MSE_1332_1_012039bib13,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3457682.3457756,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_17_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-60450-9_3,1412.6980,asserted,,True,True,False,True,3_CR21,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-67070-2_6,1412.6980,asserted,,True,True,False,True,6_CR23,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3450741.3465245,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_25_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tifs.2024.3520020,1412.6980,asserted,,True,True,False,True,ref47,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-95-3102-8_9,1412.6980,asserted,,True,True,False,True,9_CR7,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2022.11.17.516907,1412.6980,asserted,,True,True,False,True,2022112107350733000_2022.11.17.516907v1.19,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-319-99978-4_4,1412.6980,asserted,,True,True,False,True,4_CR14,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3664647.3681706,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_14_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1587/transinf.2017edl8225,1412.6980,asserted,,True,True,False,True,4,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-29135-8_6,1412.6980,asserted,,True,True,False,True,6_CR24,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-89529-6_2,1412.6980,asserted,,True,True,False,True,2_CR21,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.mlwa.2025.100753,1412.6980,asserted,,True,True,False,True,10.1016/j.mlwa.2025.100753_bib0035,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1088/1402-4896/ad55be,1412.6980,asserted,publisher,True,True,True,False,psad55bebib29,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.enbuild.2022.112337,1412.6980,asserted,,True,True,False,True,10.1016/j.enbuild.2022.112337_b0170,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11042-022-11909-0,1412.6980,asserted,,True,True,False,True,11909_CR9,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s00371-024-03660-4,1412.6980,asserted,,True,True,False,True,3660_CR30,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-97-5581-3_21,1412.6980,asserted,,True,True,False,True,21_CR19,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1177/0361198119842820,1412.6980,asserted,,True,True,False,True,bibr20-0361198119842820,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3574130,1412.6980,asserted,,True,True,False,True,e_1_3_1_28_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s10845-020-01635-5,1412.6980,asserted,,True,True,False,True,1635_CR20,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-95-0014-7_3,1412.6980,asserted,,True,True,False,True,3_CR31,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s00477-023-02565-3,1412.6980,asserted,,True,True,False,True,2565_CR22,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1111/mafi.12413,1412.6980,asserted,,True,True,False,True,e_1_2_8_57_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.neucom.2020.05.087,1412.6980,asserted,,True,True,False,True,10.1016/j.neucom.2020.05.087_b0250,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3453483.3454054,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_29_1,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3729385,1412.6980,asserted,,True,True,False,True,e_1_2_1_47_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-73113-6_16,1412.6980,asserted,,True,True,False,True,16_CR27,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.compag.2025.110965,1412.6980,asserted,,True,True,False,True,10.1016/j.compag.2025.110965_b0070,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3411501.3419427,1412.6980,asserted,,True,True,False,True,e_1_3_2_2_4_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-11018-5_32,1412.6980,asserted,,True,True,False,True,32_CR47,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-04221-9_26,1412.6980,asserted,,True,True,False,True,26_CR11,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1111/cgf.70249,1412.6980,asserted,,True,True,False,True,e_1_2_8_17_2,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3306346.3323036,1412.6980,asserted,,True,True,False,True,e_1_2_2_37_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-02375-0_34,1412.6980,asserted,,True,True,False,True,34_CR10,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1021/acs.jctc.8b00975,1412.6980,asserted,,True,True,False,True,ref26/cit26,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1093/mnras/staf285,1412.6980,asserted,publisher,True,True,True,False,2025032016224664800_bib25,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.eswa.2023.122003,1412.6980,asserted,,True,True,False,True,10.1016/j.eswa.2023.122003_b0095,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1101/2025.01.02.25319930,1412.6980,asserted,,True,True,False,True,2025010618151128000_2025.01.02.25319930v1.8,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-022-12845-7,1412.6980,asserted,,True,True,False,True,12845_CR40,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s12065-024-00970-3,1412.6980,asserted,,True,True,False,True,970_CR43,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3485447.3512251,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_16_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s43762-022-00049-8,1412.6980,asserted,,True,True,False,True,49_CR35,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1145/3490322.3490337,1412.6980,asserted,,True,True,False,True,e_1_3_2_1_17_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tmrb.2024.3407330,1412.6980,asserted,,True,True,False,True,ref17,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1109/tgrs.2024.3388245,1412.6980,asserted,,True,True,False,True,ref55,,True,True,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-17795-9_34,1412.6980,asserted,,True,True,False,True,34_CR22,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-981-15-1956-7_9,1412.6980,asserted,,True,True,False,True,9_CR11,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-030-64580-9_7,1412.6980,asserted,,True,True,False,True,7_CR17,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1186/s12880-021-00710-4,1412.6980,asserted,,True,True,False,True,710_CR20,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1080/02626667.2025.2458545,1412.6980,asserted,publisher,True,True,True,False,e_1_3_6_25_1,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s00521-023-08754-z,1412.6980,asserted,,True,True,False,True,8754_CR45,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1038/s41598-022-08993-5,1412.6980,asserted,,True,True,False,True,8993_CR42,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/978-3-031-72904-1_15,1412.6980,asserted,,True,True,False,True,15_CR8,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1007/s11831-025-10378-6,1412.6980,asserted,,True,True,False,True,10378_CR36,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
10.1016/j.neucom.2020.01.025,1412.6980,asserted,,True,True,False,True,10.1016/j.neucom.2020.01.025_bib0041,,True,False,https://openalex.org/W1522301498,,False,,skipped,False,False,,skipped,
